# AI-CFD-V2 Phase 0 mocked solver log
# WARNING: No real CFD solver was executed.
# Residuals below are synthetic placeholders.

Time = 1  residual(Ux)=9.876e-01  residual(Uy)=9.876e-01  residual(p)=9.876e-01  residual(k)=9.876e-01  residual(omega)=9.876e-01
Time = 364  residual(Ux)=1.057e-02  residual(Uy)=1.057e-02  residual(p)=1.057e-02  residual(k)=1.057e-02  residual(omega)=1.057e-02
Time = 365  residual(Ux)=1.044e-02  residual(Uy)=1.044e-02  residual(p)=1.044e-02  residual(k)=1.044e-02  residual(omega)=1.044e-02
Time = 366  residual(Ux)=1.031e-02  residual(Uy)=1.031e-02  residual(p)=1.031e-02  residual(k)=1.031e-02  residual(omega)=1.031e-02
Time = 367  residual(Ux)=1.018e-02  residual(Uy)=1.018e-02  residual(p)=1.018e-02  residual(k)=1.018e-02  residual(omega)=1.018e-02
Time = 368  residual(Ux)=1.005e-02  residual(Uy)=1.005e-02  residual(p)=1.005e-02  residual(k)=1.005e-02  residual(omega)=1.005e-02
Time = 369  residual(Ux)=9.927e-03  residual(Uy)=9.927e-03  residual(p)=9.927e-03  residual(k)=9.927e-03  residual(omega)=9.927e-03
Time = 370  residual(Ux)=9.804e-03  residual(Uy)=9.804e-03  residual(p)=9.804e-03  residual(k)=9.804e-03  residual(omega)=9.804e-03
Time = 371  residual(Ux)=9.682e-03  residual(Uy)=9.682e-03  residual(p)=9.682e-03  residual(k)=9.682e-03  residual(omega)=9.682e-03
Time = 372  residual(Ux)=9.562e-03  residual(Uy)=9.562e-03  residual(p)=9.562e-03  residual(k)=9.562e-03  residual(omega)=9.562e-03
Time = 373  residual(Ux)=9.443e-03  residual(Uy)=9.443e-03  residual(p)=9.443e-03  residual(k)=9.443e-03  residual(omega)=9.443e-03
Time = 374  residual(Ux)=9.326e-03  residual(Uy)=9.326e-03  residual(p)=9.326e-03  residual(k)=9.326e-03  residual(omega)=9.326e-03
Time = 375  residual(Ux)=9.210e-03  residual(Uy)=9.210e-03  residual(p)=9.210e-03  residual(k)=9.210e-03  residual(omega)=9.210e-03
Time = 376  residual(Ux)=9.095e-03  residual(Uy)=9.095e-03  residual(p)=9.095e-03  residual(k)=9.095e-03  residual(omega)=9.095e-03
Time = 377  residual(Ux)=8.982e-03  residual(Uy)=8.982e-03  residual(p)=8.982e-03  residual(k)=8.982e-03  residual(omega)=8.982e-03
Time = 378  residual(Ux)=8.871e-03  residual(Uy)=8.871e-03  residual(p)=8.871e-03  residual(k)=8.871e-03  residual(omega)=8.871e-03
Time = 379  residual(Ux)=8.761e-03  residual(Uy)=8.761e-03  residual(p)=8.761e-03  residual(k)=8.761e-03  residual(omega)=8.761e-03
Time = 380  residual(Ux)=8.652e-03  residual(Uy)=8.652e-03  residual(p)=8.652e-03  residual(k)=8.652e-03  residual(omega)=8.652e-03
Time = 381  residual(Ux)=8.544e-03  residual(Uy)=8.544e-03  residual(p)=8.544e-03  residual(k)=8.544e-03  residual(omega)=8.544e-03
Time = 382  residual(Ux)=8.438e-03  residual(Uy)=8.438e-03  residual(p)=8.438e-03  residual(k)=8.438e-03  residual(omega)=8.438e-03
Time = 383  residual(Ux)=8.333e-03  residual(Uy)=8.333e-03  residual(p)=8.333e-03  residual(k)=8.333e-03  residual(omega)=8.333e-03
Time = 384  residual(Ux)=8.230e-03  residual(Uy)=8.230e-03  residual(p)=8.230e-03  residual(k)=8.230e-03  residual(omega)=8.230e-03
Time = 385  residual(Ux)=8.128e-03  residual(Uy)=8.128e-03  residual(p)=8.128e-03  residual(k)=8.128e-03  residual(omega)=8.128e-03
Time = 386  residual(Ux)=8.027e-03  residual(Uy)=8.027e-03  residual(p)=8.027e-03  residual(k)=8.027e-03  residual(omega)=8.027e-03
Time = 387  residual(Ux)=7.927e-03  residual(Uy)=7.927e-03  residual(p)=7.927e-03  residual(k)=7.927e-03  residual(omega)=7.927e-03
Time = 388  residual(Ux)=7.828e-03  residual(Uy)=7.828e-03  residual(p)=7.828e-03  residual(k)=7.828e-03  residual(omega)=7.828e-03
Time = 389  residual(Ux)=7.731e-03  residual(Uy)=7.731e-03  residual(p)=7.731e-03  residual(k)=7.731e-03  residual(omega)=7.731e-03
Time = 390  residual(Ux)=7.635e-03  residual(Uy)=7.635e-03  residual(p)=7.635e-03  residual(k)=7.635e-03  residual(omega)=7.635e-03
Time = 391  residual(Ux)=7.540e-03  residual(Uy)=7.540e-03  residual(p)=7.540e-03  residual(k)=7.540e-03  residual(omega)=7.540e-03
Time = 392  residual(Ux)=7.447e-03  residual(Uy)=7.447e-03  residual(p)=7.447e-03  residual(k)=7.447e-03  residual(omega)=7.447e-03
Time = 393  residual(Ux)=7.354e-03  residual(Uy)=7.354e-03  residual(p)=7.354e-03  residual(k)=7.354e-03  residual(omega)=7.354e-03
Time = 394  residual(Ux)=7.263e-03  residual(Uy)=7.263e-03  residual(p)=7.263e-03  residual(k)=7.263e-03  residual(omega)=7.263e-03
Time = 395  residual(Ux)=7.173e-03  residual(Uy)=7.173e-03  residual(p)=7.173e-03  residual(k)=7.173e-03  residual(omega)=7.173e-03
Time = 396  residual(Ux)=7.083e-03  residual(Uy)=7.083e-03  residual(p)=7.083e-03  residual(k)=7.083e-03  residual(omega)=7.083e-03
Time = 397  residual(Ux)=6.995e-03  residual(Uy)=6.995e-03  residual(p)=6.995e-03  residual(k)=6.995e-03  residual(omega)=6.995e-03
Time = 398  residual(Ux)=6.909e-03  residual(Uy)=6.909e-03  residual(p)=6.909e-03  residual(k)=6.909e-03  residual(omega)=6.909e-03
Time = 399  residual(Ux)=6.823e-03  residual(Uy)=6.823e-03  residual(p)=6.823e-03  residual(k)=6.823e-03  residual(omega)=6.823e-03
Time = 400  residual(Ux)=6.738e-03  residual(Uy)=6.738e-03  residual(p)=6.738e-03  residual(k)=6.738e-03  residual(omega)=6.738e-03
Time = 401  residual(Ux)=6.654e-03  residual(Uy)=6.654e-03  residual(p)=6.654e-03  residual(k)=6.654e-03  residual(omega)=6.654e-03
Time = 402  residual(Ux)=6.572e-03  residual(Uy)=6.572e-03  residual(p)=6.572e-03  residual(k)=6.572e-03  residual(omega)=6.572e-03
Time = 403  residual(Ux)=6.490e-03  residual(Uy)=6.490e-03  residual(p)=6.490e-03  residual(k)=6.490e-03  residual(omega)=6.490e-03
Time = 404  residual(Ux)=6.409e-03  residual(Uy)=6.409e-03  residual(p)=6.409e-03  residual(k)=6.409e-03  residual(omega)=6.409e-03
Time = 405  residual(Ux)=6.330e-03  residual(Uy)=6.330e-03  residual(p)=6.330e-03  residual(k)=6.330e-03  residual(omega)=6.330e-03
Time = 406  residual(Ux)=6.251e-03  residual(Uy)=6.251e-03  residual(p)=6.251e-03  residual(k)=6.251e-03  residual(omega)=6.251e-03
Time = 407  residual(Ux)=6.173e-03  residual(Uy)=6.173e-03  residual(p)=6.173e-03  residual(k)=6.173e-03  residual(omega)=6.173e-03
Time = 408  residual(Ux)=6.097e-03  residual(Uy)=6.097e-03  residual(p)=6.097e-03  residual(k)=6.097e-03  residual(omega)=6.097e-03
Time = 409  residual(Ux)=6.021e-03  residual(Uy)=6.021e-03  residual(p)=6.021e-03  residual(k)=6.021e-03  residual(omega)=6.021e-03
Time = 410  residual(Ux)=5.946e-03  residual(Uy)=5.946e-03  residual(p)=5.946e-03  residual(k)=5.946e-03  residual(omega)=5.946e-03
Time = 411  residual(Ux)=5.872e-03  residual(Uy)=5.872e-03  residual(p)=5.872e-03  residual(k)=5.872e-03  residual(omega)=5.872e-03
Time = 412  residual(Ux)=5.799e-03  residual(Uy)=5.799e-03  residual(p)=5.799e-03  residual(k)=5.799e-03  residual(omega)=5.799e-03
Time = 413  residual(Ux)=5.727e-03  residual(Uy)=5.727e-03  residual(p)=5.727e-03  residual(k)=5.727e-03  residual(omega)=5.727e-03
Time = 414  residual(Ux)=5.656e-03  residual(Uy)=5.656e-03  residual(p)=5.656e-03  residual(k)=5.656e-03  residual(omega)=5.656e-03
Time = 415  residual(Ux)=5.586e-03  residual(Uy)=5.586e-03  residual(p)=5.586e-03  residual(k)=5.586e-03  residual(omega)=5.586e-03
Time = 416  residual(Ux)=5.517e-03  residual(Uy)=5.517e-03  residual(p)=5.517e-03  residual(k)=5.517e-03  residual(omega)=5.517e-03
Time = 417  residual(Ux)=5.448e-03  residual(Uy)=5.448e-03  residual(p)=5.448e-03  residual(k)=5.448e-03  residual(omega)=5.448e-03
Time = 418  residual(Ux)=5.380e-03  residual(Uy)=5.380e-03  residual(p)=5.380e-03  residual(k)=5.380e-03  residual(omega)=5.380e-03
Time = 419  residual(Ux)=5.314e-03  residual(Uy)=5.314e-03  residual(p)=5.314e-03  residual(k)=5.314e-03  residual(omega)=5.314e-03
Time = 420  residual(Ux)=5.248e-03  residual(Uy)=5.248e-03  residual(p)=5.248e-03  residual(k)=5.248e-03  residual(omega)=5.248e-03
Time = 421  residual(Ux)=5.182e-03  residual(Uy)=5.182e-03  residual(p)=5.182e-03  residual(k)=5.182e-03  residual(omega)=5.182e-03
Time = 422  residual(Ux)=5.118e-03  residual(Uy)=5.118e-03  residual(p)=5.118e-03  residual(k)=5.118e-03  residual(omega)=5.118e-03
Time = 423  residual(Ux)=5.054e-03  residual(Uy)=5.054e-03  residual(p)=5.054e-03  residual(k)=5.054e-03  residual(omega)=5.054e-03
Time = 424  residual(Ux)=4.992e-03  residual(Uy)=4.992e-03  residual(p)=4.992e-03  residual(k)=4.992e-03  residual(omega)=4.992e-03
Time = 425  residual(Ux)=4.930e-03  residual(Uy)=4.930e-03  residual(p)=4.930e-03  residual(k)=4.930e-03  residual(omega)=4.930e-03
Time = 426  residual(Ux)=4.868e-03  residual(Uy)=4.868e-03  residual(p)=4.868e-03  residual(k)=4.868e-03  residual(omega)=4.868e-03
Time = 427  residual(Ux)=4.808e-03  residual(Uy)=4.808e-03  residual(p)=4.808e-03  residual(k)=4.808e-03  residual(omega)=4.808e-03
Time = 428  residual(Ux)=4.748e-03  residual(Uy)=4.748e-03  residual(p)=4.748e-03  residual(k)=4.748e-03  residual(omega)=4.748e-03
Time = 429  residual(Ux)=4.689e-03  residual(Uy)=4.689e-03  residual(p)=4.689e-03  residual(k)=4.689e-03  residual(omega)=4.689e-03
Time = 430  residual(Ux)=4.631e-03  residual(Uy)=4.631e-03  residual(p)=4.631e-03  residual(k)=4.631e-03  residual(omega)=4.631e-03
Time = 431  residual(Ux)=4.573e-03  residual(Uy)=4.573e-03  residual(p)=4.573e-03  residual(k)=4.573e-03  residual(omega)=4.573e-03
Time = 432  residual(Ux)=4.517e-03  residual(Uy)=4.517e-03  residual(p)=4.517e-03  residual(k)=4.517e-03  residual(omega)=4.517e-03
Time = 433  residual(Ux)=4.460e-03  residual(Uy)=4.460e-03  residual(p)=4.460e-03  residual(k)=4.460e-03  residual(omega)=4.460e-03
Time = 434  residual(Ux)=4.405e-03  residual(Uy)=4.405e-03  residual(p)=4.405e-03  residual(k)=4.405e-03  residual(omega)=4.405e-03
Time = 435  residual(Ux)=4.350e-03  residual(Uy)=4.350e-03  residual(p)=4.350e-03  residual(k)=4.350e-03  residual(omega)=4.350e-03
Time = 436  residual(Ux)=4.296e-03  residual(Uy)=4.296e-03  residual(p)=4.296e-03  residual(k)=4.296e-03  residual(omega)=4.296e-03
Time = 437  residual(Ux)=4.243e-03  residual(Uy)=4.243e-03  residual(p)=4.243e-03  residual(k)=4.243e-03  residual(omega)=4.243e-03
Time = 438  residual(Ux)=4.190e-03  residual(Uy)=4.190e-03  residual(p)=4.190e-03  residual(k)=4.190e-03  residual(omega)=4.190e-03
Time = 439  residual(Ux)=4.138e-03  residual(Uy)=4.138e-03  residual(p)=4.138e-03  residual(k)=4.138e-03  residual(omega)=4.138e-03
Time = 440  residual(Ux)=4.087e-03  residual(Uy)=4.087e-03  residual(p)=4.087e-03  residual(k)=4.087e-03  residual(omega)=4.087e-03
Time = 441  residual(Ux)=4.036e-03  residual(Uy)=4.036e-03  residual(p)=4.036e-03  residual(k)=4.036e-03  residual(omega)=4.036e-03
Time = 442  residual(Ux)=3.986e-03  residual(Uy)=3.986e-03  residual(p)=3.986e-03  residual(k)=3.986e-03  residual(omega)=3.986e-03
Time = 443  residual(Ux)=3.936e-03  residual(Uy)=3.936e-03  residual(p)=3.936e-03  residual(k)=3.936e-03  residual(omega)=3.936e-03
Time = 444  residual(Ux)=3.887e-03  residual(Uy)=3.887e-03  residual(p)=3.887e-03  residual(k)=3.887e-03  residual(omega)=3.887e-03
Time = 445  residual(Ux)=3.839e-03  residual(Uy)=3.839e-03  residual(p)=3.839e-03  residual(k)=3.839e-03  residual(omega)=3.839e-03
Time = 446  residual(Ux)=3.791e-03  residual(Uy)=3.791e-03  residual(p)=3.791e-03  residual(k)=3.791e-03  residual(omega)=3.791e-03
Time = 447  residual(Ux)=3.744e-03  residual(Uy)=3.744e-03  residual(p)=3.744e-03  residual(k)=3.744e-03  residual(omega)=3.744e-03
Time = 448  residual(Ux)=3.698e-03  residual(Uy)=3.698e-03  residual(p)=3.698e-03  residual(k)=3.698e-03  residual(omega)=3.698e-03
Time = 449  residual(Ux)=3.652e-03  residual(Uy)=3.652e-03  residual(p)=3.652e-03  residual(k)=3.652e-03  residual(omega)=3.652e-03
Time = 450  residual(Ux)=3.607e-03  residual(Uy)=3.607e-03  residual(p)=3.607e-03  residual(k)=3.607e-03  residual(omega)=3.607e-03
Time = 451  residual(Ux)=3.562e-03  residual(Uy)=3.562e-03  residual(p)=3.562e-03  residual(k)=3.562e-03  residual(omega)=3.562e-03
Time = 452  residual(Ux)=3.518e-03  residual(Uy)=3.518e-03  residual(p)=3.518e-03  residual(k)=3.518e-03  residual(omega)=3.518e-03
Time = 453  residual(Ux)=3.474e-03  residual(Uy)=3.474e-03  residual(p)=3.474e-03  residual(k)=3.474e-03  residual(omega)=3.474e-03
Time = 454  residual(Ux)=3.431e-03  residual(Uy)=3.431e-03  residual(p)=3.431e-03  residual(k)=3.431e-03  residual(omega)=3.431e-03
Time = 455  residual(Ux)=3.388e-03  residual(Uy)=3.388e-03  residual(p)=3.388e-03  residual(k)=3.388e-03  residual(omega)=3.388e-03
Time = 456  residual(Ux)=3.346e-03  residual(Uy)=3.346e-03  residual(p)=3.346e-03  residual(k)=3.346e-03  residual(omega)=3.346e-03
Time = 457  residual(Ux)=3.304e-03  residual(Uy)=3.304e-03  residual(p)=3.304e-03  residual(k)=3.304e-03  residual(omega)=3.304e-03
Time = 458  residual(Ux)=3.263e-03  residual(Uy)=3.263e-03  residual(p)=3.263e-03  residual(k)=3.263e-03  residual(omega)=3.263e-03
Time = 459  residual(Ux)=3.223e-03  residual(Uy)=3.223e-03  residual(p)=3.223e-03  residual(k)=3.223e-03  residual(omega)=3.223e-03
Time = 460  residual(Ux)=3.183e-03  residual(Uy)=3.183e-03  residual(p)=3.183e-03  residual(k)=3.183e-03  residual(omega)=3.183e-03
Time = 461  residual(Ux)=3.143e-03  residual(Uy)=3.143e-03  residual(p)=3.143e-03  residual(k)=3.143e-03  residual(omega)=3.143e-03
Time = 462  residual(Ux)=3.104e-03  residual(Uy)=3.104e-03  residual(p)=3.104e-03  residual(k)=3.104e-03  residual(omega)=3.104e-03
Time = 463  residual(Ux)=3.066e-03  residual(Uy)=3.066e-03  residual(p)=3.066e-03  residual(k)=3.066e-03  residual(omega)=3.066e-03
Time = 464  residual(Ux)=3.028e-03  residual(Uy)=3.028e-03  residual(p)=3.028e-03  residual(k)=3.028e-03  residual(omega)=3.028e-03
Time = 465  residual(Ux)=2.990e-03  residual(Uy)=2.990e-03  residual(p)=2.990e-03  residual(k)=2.990e-03  residual(omega)=2.990e-03
Time = 466  residual(Ux)=2.953e-03  residual(Uy)=2.953e-03  residual(p)=2.953e-03  residual(k)=2.953e-03  residual(omega)=2.953e-03
Time = 467  residual(Ux)=2.916e-03  residual(Uy)=2.916e-03  residual(p)=2.916e-03  residual(k)=2.916e-03  residual(omega)=2.916e-03
Time = 468  residual(Ux)=2.880e-03  residual(Uy)=2.880e-03  residual(p)=2.880e-03  residual(k)=2.880e-03  residual(omega)=2.880e-03
Time = 469  residual(Ux)=2.844e-03  residual(Uy)=2.844e-03  residual(p)=2.844e-03  residual(k)=2.844e-03  residual(omega)=2.844e-03
Time = 470  residual(Ux)=2.809e-03  residual(Uy)=2.809e-03  residual(p)=2.809e-03  residual(k)=2.809e-03  residual(omega)=2.809e-03
Time = 471  residual(Ux)=2.774e-03  residual(Uy)=2.774e-03  residual(p)=2.774e-03  residual(k)=2.774e-03  residual(omega)=2.774e-03
Time = 472  residual(Ux)=2.739e-03  residual(Uy)=2.739e-03  residual(p)=2.739e-03  residual(k)=2.739e-03  residual(omega)=2.739e-03
Time = 473  residual(Ux)=2.705e-03  residual(Uy)=2.705e-03  residual(p)=2.705e-03  residual(k)=2.705e-03  residual(omega)=2.705e-03
Time = 474  residual(Ux)=2.672e-03  residual(Uy)=2.672e-03  residual(p)=2.672e-03  residual(k)=2.672e-03  residual(omega)=2.672e-03
Time = 475  residual(Ux)=2.639e-03  residual(Uy)=2.639e-03  residual(p)=2.639e-03  residual(k)=2.639e-03  residual(omega)=2.639e-03
Time = 476  residual(Ux)=2.606e-03  residual(Uy)=2.606e-03  residual(p)=2.606e-03  residual(k)=2.606e-03  residual(omega)=2.606e-03
Time = 477  residual(Ux)=2.573e-03  residual(Uy)=2.573e-03  residual(p)=2.573e-03  residual(k)=2.573e-03  residual(omega)=2.573e-03
Time = 478  residual(Ux)=2.542e-03  residual(Uy)=2.542e-03  residual(p)=2.542e-03  residual(k)=2.542e-03  residual(omega)=2.542e-03
Time = 479  residual(Ux)=2.510e-03  residual(Uy)=2.510e-03  residual(p)=2.510e-03  residual(k)=2.510e-03  residual(omega)=2.510e-03
Time = 480  residual(Ux)=2.479e-03  residual(Uy)=2.479e-03  residual(p)=2.479e-03  residual(k)=2.479e-03  residual(omega)=2.479e-03
Time = 481  residual(Ux)=2.448e-03  residual(Uy)=2.448e-03  residual(p)=2.448e-03  residual(k)=2.448e-03  residual(omega)=2.448e-03
Time = 482  residual(Ux)=2.418e-03  residual(Uy)=2.418e-03  residual(p)=2.418e-03  residual(k)=2.418e-03  residual(omega)=2.418e-03
Time = 483  residual(Ux)=2.388e-03  residual(Uy)=2.388e-03  residual(p)=2.388e-03  residual(k)=2.388e-03  residual(omega)=2.388e-03
Time = 484  residual(Ux)=2.358e-03  residual(Uy)=2.358e-03  residual(p)=2.358e-03  residual(k)=2.358e-03  residual(omega)=2.358e-03
Time = 485  residual(Ux)=2.329e-03  residual(Uy)=2.329e-03  residual(p)=2.329e-03  residual(k)=2.329e-03  residual(omega)=2.329e-03
Time = 486  residual(Ux)=2.300e-03  residual(Uy)=2.300e-03  residual(p)=2.300e-03  residual(k)=2.300e-03  residual(omega)=2.300e-03
Time = 487  residual(Ux)=2.271e-03  residual(Uy)=2.271e-03  residual(p)=2.271e-03  residual(k)=2.271e-03  residual(omega)=2.271e-03
Time = 488  residual(Ux)=2.243e-03  residual(Uy)=2.243e-03  residual(p)=2.243e-03  residual(k)=2.243e-03  residual(omega)=2.243e-03
Time = 489  residual(Ux)=2.215e-03  residual(Uy)=2.215e-03  residual(p)=2.215e-03  residual(k)=2.215e-03  residual(omega)=2.215e-03
Time = 490  residual(Ux)=2.187e-03  residual(Uy)=2.187e-03  residual(p)=2.187e-03  residual(k)=2.187e-03  residual(omega)=2.187e-03
Time = 491  residual(Ux)=2.160e-03  residual(Uy)=2.160e-03  residual(p)=2.160e-03  residual(k)=2.160e-03  residual(omega)=2.160e-03
Time = 492  residual(Ux)=2.133e-03  residual(Uy)=2.133e-03  residual(p)=2.133e-03  residual(k)=2.133e-03  residual(omega)=2.133e-03
Time = 493  residual(Ux)=2.107e-03  residual(Uy)=2.107e-03  residual(p)=2.107e-03  residual(k)=2.107e-03  residual(omega)=2.107e-03
Time = 494  residual(Ux)=2.081e-03  residual(Uy)=2.081e-03  residual(p)=2.081e-03  residual(k)=2.081e-03  residual(omega)=2.081e-03
Time = 495  residual(Ux)=2.055e-03  residual(Uy)=2.055e-03  residual(p)=2.055e-03  residual(k)=2.055e-03  residual(omega)=2.055e-03
Time = 496  residual(Ux)=2.029e-03  residual(Uy)=2.029e-03  residual(p)=2.029e-03  residual(k)=2.029e-03  residual(omega)=2.029e-03
Time = 497  residual(Ux)=2.004e-03  residual(Uy)=2.004e-03  residual(p)=2.004e-03  residual(k)=2.004e-03  residual(omega)=2.004e-03
Time = 498  residual(Ux)=1.979e-03  residual(Uy)=1.979e-03  residual(p)=1.979e-03  residual(k)=1.979e-03  residual(omega)=1.979e-03
Time = 499  residual(Ux)=1.955e-03  residual(Uy)=1.955e-03  residual(p)=1.955e-03  residual(k)=1.955e-03  residual(omega)=1.955e-03
Time = 500  residual(Ux)=1.930e-03  residual(Uy)=1.930e-03  residual(p)=1.930e-03  residual(k)=1.930e-03  residual(omega)=1.930e-03
